it	8036	page	servizi	Servizi	publish	post_page	7519
NULL	8041	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8042	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8043	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8044	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8045	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8046	revision	8036-revision-v1	SERVIZI	inherit	NULL	NULL
NULL	8087	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
NULL	8089	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
NULL	8090	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
NULL	8091	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
NULL	8562	revision	8036-autosave-v1	Servizi	inherit	NULL	NULL
NULL	8563	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
NULL	8573	revision	8036-revision-v1	Servizi	inherit	NULL	NULL
